SNP,Chromosome,Position,DF,t Value,std Error,effect
SCRI_RS_136200,2,2.3,NA,NA,NA,0.131783195467537
SCRI_RS_156845,2,4,NA,NA,NA,0.132427264424005
SCRI_RS_133377,2,6.3,NA,NA,NA,0.113384000596698
SCRI_RS_190048,2,6.3,NA,NA,NA,0.113384000596698
BOPA2_12_31497,2,8.6,NA,NA,NA,0.172428686114545
SCRI_RS_141771,2,8.6,NA,NA,NA,0.172428686114545
SCRI_RS_209516,2,10.4,NA,NA,NA,0.289651464529475
BOPA2_12_31284,2,15.4,NA,NA,NA,-0.569665580517975
SCRI_RS_185319,2,15.4,NA,NA,NA,-0.510045822455566
SCRI_RS_198643,2,15.4,NA,NA,NA,-0.510045822455566
BK_12,2,23,NA,NA,NA,-0.351522252086941
BK_14,2,23,NA,NA,NA,-0.351522252086941
BK_15,2,23,NA,NA,NA,-0.160791027510897
BK_16,2,23,NA,NA,NA,-0.430609945818464
BOPA2_12_30871,2,23,NA,NA,NA,-0.351522252086941
BOPA2_12_30872,2,23,NA,NA,NA,-0.351522252086941
SCRI_RS_170337,2,23,NA,NA,NA,-0.589781307554232
SCRI_RS_155612,2,24.8,NA,NA,NA,-1.61617619306638
BOPA1_7032_201,2,26.8,NA,NA,NA,0.28765148562765
SCRI_RS_120182,2,33.9,NA,NA,NA,0.235186265245377
BOPA2_12_30657,2,39.7,NA,NA,NA,-0.505256548256792
SCRI_RS_154981,2,41.2,NA,NA,NA,-0.495050128548835
SCRI_RS_194318,2,44.4,NA,NA,NA,-0.784845200345025
SCRI_RS_201800,2,48.4,NA,NA,NA,-0.621731464544499
SCRI_RS_158928,2,50.5,NA,NA,NA,-0.653863959403693
BOPA1_6384_866,2,52.2,NA,NA,NA,-0.577069343996297
SCRI_RS_224846,2,52.2,NA,NA,NA,-0.577069343996297
BOPA1_946_2500,2,54.2,NA,NA,NA,-0.493006336973666
SCRI_RS_144592,2,54.2,NA,NA,NA,-0.493006336973666
SCRI_RS_170235,2,56.2,NA,NA,NA,-0.327472154659101
SCRI_RS_240011,2,56.2,NA,NA,NA,-0.447812779762719
SCRI_RS_185710,2,58.1,NA,NA,NA,-0.51881317378583
BOPA1_4136_869,2,60.7,NA,NA,NA,-0.3418560063186
BOPA1_6911_866,2,60.7,NA,NA,NA,-0.40409503906401
BOPA1_2284_1738,2,62.7,NA,NA,NA,-0.420661422122077
BOPA1_4434_804,2,62.7,NA,NA,NA,-0.536697896533868
SCRI_RS_153531,2,62.7,NA,NA,NA,-0.424620145897124
SCRI_RS_167713,2,62.7,NA,NA,NA,-0.420661422122077
BOPA1_7187_382,2,64.9,NA,NA,NA,-0.0963924116822314
BOPA1_7660_476,2,64.9,NA,NA,NA,-0.0963924116822314
BOPA2_12_10719,2,64.9,NA,NA,NA,-0.0963924116822314
BOPA2_12_31383,2,64.9,NA,NA,NA,-0.231834342420572
SCRI_RS_110043,2,64.9,NA,NA,NA,-0.0963924116822314
BOPA1_4037_916,2,66.3,NA,NA,NA,-0.231329140448207
SCRI_RS_9469,2,68.1,NA,NA,NA,-0.231834342420572
SCRI_RS_133539,2,74.2,NA,NA,NA,-0.0363203256909115
SCRI_RS_200291,2,76.1,NA,NA,NA,0.0741563975210997
BOPA2_12_30897,2,80,NA,NA,NA,0.0743346568164103
SCRI_RS_196853,2,80,NA,NA,NA,0.0743346568164103
SCRI_RS_88704,2,80,NA,NA,NA,0.0743346568164103
BOPA1_8632_1809,2,82.5,NA,NA,NA,-0.17372451127405
SCRI_RS_119261,2,82.5,NA,NA,NA,-0.353473786043552
SCRI_RS_155456,2,82.5,NA,NA,NA,-0.17372451127405
SCRI_RS_157236,2,82.5,NA,NA,NA,-0.17372451127405
SCRI_RS_176114,2,82.5,NA,NA,NA,-0.17372451127405
SCRI_RS_182039,2,82.5,NA,NA,NA,-0.17372451127405
SCRI_RS_211894,2,82.5,NA,NA,NA,-0.17372451127405
SCRI_RS_237481,2,82.5,NA,NA,NA,-0.17372451127405
BOPA1_11591_265,2,88.5,NA,NA,NA,0.16822115377665
SCRI_RS_129223,2,88.5,NA,NA,NA,0.16822115377665
SCRI_RS_135112,2,88.5,NA,NA,NA,0.16822115377665
SCRI_RS_144778,2,88.5,NA,NA,NA,0.16822115377665
SCRI_RS_222876,2,88.5,NA,NA,NA,0.16822115377665
BOPA1_111_499,2,106.4,NA,NA,NA,0.00891468170929125
BOPA1_3180_1771,2,106.4,NA,NA,NA,0.00891468170929125
BOPA1_871_462,2,106.4,NA,NA,NA,-0.0581869589941915
BOPA1_2464_1228,2,119.8,NA,NA,NA,-0.380134529830039
BOPA2_12_30690,2,119.8,NA,NA,NA,-0.368927963448293
SCRI_RS_139840,2,119.8,NA,NA,NA,-0.368927963448293
SCRI_RS_209551,2,120.7,NA,NA,NA,-0.344671703873174
SCRI_RS_142314,2,123.5,NA,NA,NA,-0.458921978921747
SCRI_RS_198883,2,123.5,NA,NA,NA,-0.365510627144515
SCRI_RS_106163,2,129.7,NA,NA,NA,-0.629381460984521
SCRI_RS_161490,2,132.6,NA,NA,NA,-0.615781517764173
BOPA2_12_10487,2,135.6,NA,NA,NA,-0.555937642469563
